firstName;lastName;addressLine1;addressLine2;addressLine3;state;pinCode;phone1;phone2;email
Cecil;Lapage;Douglas D;4 Stovall St #72;Union City;NJ;7087;201-856-2720;201-693-3967;
Jeanice;Claucherty;19 Amboy Ave;Miami;Miami-Dade;;33142;305-988-4162;305-306-7834;jeanice.claucherty@yahoo.com
Josphine;Villanueva;63 Smith Ln #8343;Moss;Clay;;38575;931-553-9774;931-486-6946;josphine_villanueva@villanueva.com
Daniel;Perruzza;11360 S Halsted St;Santa Ana;Orange;;92705;714-771-3880;714-531-1391;dperruzza@perruzza.com
Cassi;Wildfong;James O Esq;26849 Jefferson Hwy;Rolling Meadows;IL;60008;847-755-9041;847-633-3216;
Britt;Galam;2500 Pringle Rd Se #508;Hatfield;Montgomery;;19440;215-888-3304;215-351-8523;britt@galam.org
Adell;Lipkin;65 Mountain View Dr;Whippany;Morris;;7981;973-654-1561;973-662-8988;adell.lipkin@lipkin.com
Jacqueline;Rowling;1 N San Saba;Erie;Erie;;16501;814-865-8113;814-481-1700;jacqueline.rowling@yahoo.com
Lonny;Weglarz;51120 State Route 18;Salt Lake City;Salt Lake;;84115;801-293-9853;801-892-8781;lonny_weglarz@gmail.com
Lonna;Diestel;Thomas J Esq;1482 College Ave;Fayetteville;NC;28301;910-200-7912;910-922-3672;
Cristal;Samara;4119 Metropolitan Dr;Los Angeles;Los Angeles;;90021;213-975-8026;213-696-8004;cristal@cox.net
Kenneth;Grenet;2167 Sierra Rd;East Lansing;Ingham;;48823;517-499-2322;517-867-8077;kenneth.grenet@grenet.org
Elli;Mclaird;6 Sunrise Ave;Utica;Oneida;;13501;315-818-2638;315-474-5570;emclaird@mclaird.com
Alline;Jeanty;55713 Lake City Hwy;South Bend;St Joseph;;46601;574-656-2800;574-405-1983;ajeanty@gmail.com
Sharika;Eanes;75698 N Fiesta Blvd;Orlando;Orange;;32806;407-312-1691;407-472-1332;sharika.eanes@aol.com
Nu;Mcnease;88 Sw 28th Ter;Harrison;Hudson;;7029;973-751-9003;973-903-4175;nu@gmail.com
Daniela;Comnick;7 Flowers Rd #403;Trenton;Mercer;;8611;609-200-8577;609-398-2805;dcomnick@cox.net
Cecilia;Colaizzo;4 Nw 12th St #3849;Madison;Dane;;53717;608-382-4541;608-302-3387;cecilia_colaizzo@colaizzo.com
Leslie;Threets;2 A Kelley Dr;Katonah;Westchester;;10536;914-861-9748;914-396-2615;leslie@cox.net
Nan;Koppinger;Grace T;88827 Frankford Ave;Greensboro;NC;27401;336-564-1492;336-370-5333;
Izetta;Dewar;Jean Esq;2 W Scyene Rd #3;Baltimore;MD;21217;410-522-7621;410-473-1708;
Tegan;Arceo;62260 Park Stre;Monroe Township;Middlesex;;8831;732-730-2692;732-705-6719;tegan.arceo@arceo.org
Ruthann;Keener;3424 29th St Se;Kerrville;Kerr;;78028;830-258-2769;830-919-5991;ruthann@hotmail.com
Joni;Breland;35 E Main St #43;Elk Grove Village;Cook;;60007;847-519-5906;847-740-5304;joni_breland@cox.net
Vi;Rentfro;7163 W Clark Rd;Freehold;Monmouth;;7728;732-605-4781;732-724-7251;vrentfro@cox.net
Colette;Kardas;21575 S Apple Creek Rd;Omaha;Douglas;;68124;402-896-5943;402-707-1602;colette.kardas@yahoo.com
Malcolm;Tromblay;747 Leonis Blvd;Annandale;Fairfax;;22003;703-221-5602;703-874-4248;malcolm_tromblay@cox.net
Ryan;Harnos;13 Gunnison St;Plano;Collin;;75075;972-558-1665;972-961-4968;ryan@cox.net
Jess;Chaffins;18 3rd Ave;New York;New York;;10016;212-510-4633;212-428-9538;jess.chaffins@chaffins.org
Sharen;Bourbon;John A Esq;62 W Austin St;Syosset;NY;11791;516-749-3188;516-816-1541;
Nickolas;Juvera;177 S Rider Trl #52;Crystal River;Citrus;;34429;352-598-8301;352-947-6152;nickolas_juvera@cox.net
Gary;Nunlee;2 W Mount Royal Ave;Fortville;Hancock;;46040;317-542-6023;317-887-8486;gary_nunlee@nunlee.org
Diane;Devreese;1953 Telegraph Rd;Saint Joseph;Buchanan;;64504;816-557-9673;816-329-5565;diane@cox.net
Roslyn;Chavous;James L;63517 Dupont St;Jackson;MS;39211;601-973-5754;601-234-9632;
Glory;Schieler;5 E Truman Rd;Abilene;Taylor;;79602;325-869-2649;325-740-3778;glory@yahoo.com
Rasheeda;Sayaphon;J Michael Esq;251 Park Ave #979;Saratoga;CA;95070;408-997-7490;408-805-4309;
Alpha;Palaia;James M Jr;43496 Commercial Dr #29;Cherry Hill;NJ;8003;856-513-7024;856-312-2629;
Refugia;Jacobos;2184 Worth St;Hayward;Alameda;;94545;510-974-8671;510-509-3496;refugia.jacobos@jacobos.com
Shawnda;Yori;50126 N Plankinton Ave;Longwood;Seminole;;32750;407-538-5106;407-564-8113;shawnda.yori@yahoo.com
Mona;Delasancha;38773 Gravois Ave;Cheyenne;Laramie;;82001;307-403-1488;307-816-7115;mdelasancha@hotmail.com
Gilma;Liukko;16452 Greenwich St;Garden City;Nassau;;11530;516-393-9967;516-407-9573;gilma_liukko@gmail.com
Janey;Gabisi;Stephen F Esq;40 Cambridge Ave;Madison;WI;53715;608-586-6912;608-967-7194;
Lili;Paskin;20113 4th Ave E;Kearny;Hudson;;7032;201-431-2989;201-478-8540;lili.paskin@cox.net
Loren;Asar;6 Ridgewood Center Dr;Old Forge;Lackawanna;;18518;570-648-3035;570-569-2356;loren.asar@aol.com
Dorothy;Chesterfield;469 Outwater Ln;San Diego;San Diego;;92126;858-617-7834;858-732-1884;dorothy@cox.net
Gail;Similton;Wes Esq;62 Monroe St;Thousand Palms;CA;92276;760-493-9208;760-616-5388;
Catalina;Tillotson;3338 A Lockport Pl #6;Margate City;Atlantic;;8402;609-373-3332;609-826-4990;catalina@hotmail.com
Lawrence;Lorens;9 Hwy;Providence;Providence;;2906;401-465-6432;401-893-1820;lawrence.lorens@hotmail.com
Carlee;Boulter;Troy M Ii;8284 Hart St;Abilene;KS;67410;785-253-7049;785-347-1805;
Thaddeus;Ankeny;5 Washington St #1;Roseville;Placer;;95678;916-920-3571;916-459-2433;tankeny@ankeny.org
Jovita;Oles;Philip G Esq;8 S Haven St;Daytona Beach;FL;32114;386-208-6976;386-248-4118;
Alesia;Hixenbaugh;9 Front St;Washington;District of Columbia;;20001;202-646-7516;202-276-6826;alesia_hixenbaugh@hixenbaugh.org
Lai;Harabedian;1933 Packer Ave #2;Novato;Marin;;94945;415-423-3294;415-926-6089;lai@gmail.com
Brittni;Gillaspie;67 Rv Cent;Boise;Ada;;83709;208-709-1235;208-206-9848;bgillaspie@gillaspie.com
Raylene;Kampa;2 Sw Nyberg Rd;Elkhart;Elkhart;;46514;574-499-1454;574-330-1884;rkampa@kampa.org
Flo;Bookamer;89992 E 15th St;Alliance;Box Butte;;69301;308-726-2182;308-250-6987;flo.bookamer@cox.net
Jani;Biddy;61556 W 20th Ave;Seattle;King;;98104;206-711-6498;206-395-6284;jbiddy@yahoo.com
Chauncey;Motley;63 E Aurora Dr;Orlando;Orange;;32804;407-413-4842;407-557-8857;chauncey_motley@aol.com
